category_slug,old_category_link,wp_post_count,mapped_topic,topic_confidence,new_topic_link,all_topics_breakdown
vendors-finances,https://www.synnovatia.com/category/vendors-finances/,1,People & Partnerships,100%,https://synnovatiacom.stage.site/topic/people-partnerships/,"{""People & Partnerships"": 1}"
sales-client-service,https://www.synnovatia.com/category/sales-client-service/,1,Sales & Marketing,100%,https://synnovatiacom.stage.site/topic/sales-marketing/,"{""Sales & Marketing"": 1}"
sales-strategic-coaching,https://www.synnovatia.com/category/sales-strategic-coaching/,1,Sales & Marketing,100%,https://synnovatiacom.stage.site/topic/sales-marketing/,"{""Sales & Marketing"": 1}"
product-service-development-sales,https://www.synnovatia.com/category/product-service-development-sales/,1,Sales & Marketing,100%,https://synnovatiacom.stage.site/topic/sales-marketing/,"{""Sales & Marketing"": 1}"
productivity-social-networking-marketing,https://www.synnovatia.com/category/productivity-social-networking-marketing/,1,Sales & Marketing,100%,https://synnovatiacom.stage.site/topic/sales-marketing/,"{""Sales & Marketing"": 1}"
productivity-product-service-development,https://www.synnovatia.com/category/productivity-product-service-development/,1,Sales & Marketing,100%,https://synnovatiacom.stage.site/topic/sales-marketing/,"{""Sales & Marketing"": 1}"
work-life-balance-motivation,https://www.synnovatia.com/category/work-life-balance-motivation/,1,Mindset & Resilience,100%,https://synnovatiacom.stage.site/topic/mindset-resilience/,"{""Mindset & Resilience"": 1}"
work-life-balance-productivity-growth-strategies-performance-strategic-coaching,https://www.synnovatia.com/category/work-life-balance-productivity-growth-strategies-performance-strategic-coaching/,1,Mindset & Resilience,100%,https://synnovatiacom.stage.site/topic/mindset-resilience/,"{""Mindset & Resilience"": 1}"
work-life-balance-productivity-performance-strategic-coaching,https://www.synnovatia.com/category/work-life-balance-productivity-performance-strategic-coaching/,1,Strategy & Planning,100%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 1}"
performance-business-planning-strategic-coaching,https://www.synnovatia.com/category/performance-business-planning-strategic-coaching/,1,Strategy & Planning,100%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 1}"
work-life-balance-business-planning-strategic-coaching,https://www.synnovatia.com/category/work-life-balance-business-planning-strategic-coaching/,1,Strategy & Planning,100%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 1}"
vendors-strategic-coaching-client-service,https://www.synnovatia.com/category/vendors-strategic-coaching-client-service/,1,People & Partnerships,100%,https://synnovatiacom.stage.site/topic/people-partnerships/,"{""People & Partnerships"": 1}"
vendors-best-practices-strategic-coaching,https://www.synnovatia.com/category/vendors-best-practices-strategic-coaching/,1,Ownership & Entrepreneurship,100%,https://synnovatiacom.stage.site/topic/ownership-entrepreneurship/,"{""Ownership & Entrepreneurship"": 1}"
vendors-best-practices,https://www.synnovatia.com/category/vendors-best-practices/,1,People & Partnerships,100%,https://synnovatiacom.stage.site/topic/people-partnerships/,"{""People & Partnerships"": 1}"
social-networking,https://www.synnovatia.com/category/social-networking/,1,Strategy & Planning,100%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 1}"
start-up,https://www.synnovatia.com/category/start-up/,1,Ownership & Entrepreneurship,100%,https://synnovatiacom.stage.site/topic/ownership-entrepreneurship/,"{""Ownership & Entrepreneurship"": 1}"
productivity-time-management,https://www.synnovatia.com/category/productivity-time-management/,1,Strategy & Planning,100%,https://synnovatiacom.stage.site/topic/strategy-planning/,"{""Strategy & Planning"": 1}"
